,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2025-01-21,2025-01-21,2460696.7248573913,2460696.706410244,2460696.6877778973,2460697.154568691,2460697.172998855,2460697.19161114
2025-01-22,2025-01-22,2460697.725228845,2460697.706804693,2460697.6881970405,2460698.154569056,2460698.1729763,2460698.1915628207
2025-01-23,2025-01-23,2460698.7255969592,2460698.7071960196,2460698.688612762,2460699.1545553324,2460699.17293946,2460699.1914999555
2025-01-24,2025-01-24,2460699.725961573,2460699.707584023,2460699.68902545,2460700.1545274495,2460700.172888303,2460700.1914225537
2025-01-25,2025-01-25,2460700.7263225326,2460700.707968508,2460700.689434869,2460701.154485346,2460701.1728228074,2460701.1913306336
2025-01-26,2025-01-26,2460701.7266796874,2460701.7083482756,2460701.689840787,2460702.1544289635,2460702.1727429545,2460702.1912244284
2025-01-27,2025-01-27,2460702.7270328896,2460702.7087238915,2460702.6902429746,2460703.154358252,2460703.1726487326,2460703.191104033
2025-01-28,2025-01-28,2460703.727381994,2460703.709095466,2460703.690641205,2460704.1542731635,2460704.172540134,2460704.190969248
2025-01-29,2025-01-29,2460704.7277268586,2460704.7094628173,2460704.6910352544,2460705.154173658,2460705.1724171555,2460705.1908201063
2025-01-30,2025-01-30,2460705.7280673473,2460705.7098257714,2460705.6914249067,2460706.154059699,2460706.1722798003,2460706.190656648
2025-01-31,2025-01-31,2460706.728402779,2460706.7101841606,2460706.6918099527,2460707.1539312596,2460707.1721280795,2460707.1904789195
