starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
WASP-17,LIBR,439.962246510502,-28.06179545933240,11.4,6617,10.5,-8.26,-9.43,Gaia DR3 6042793005779654656,0,1,1,1,1,0,1,11.4
EPIC204221263,LIBR,240.0333007792610,-23.1894248077738,11.2,5680,9.9,-56.76,-37.51,Gaia DR3 6237129658760381056,3600,1,1,1,1,0,1,11.2
XO-1,LIBR,240.5492718323540,28.16962685439830,11.0,5848,9.9,-17.35,14.78,Gaia DR3 1316708918505350528,3600,1,1,1,1,0,1,11.0
144872,LIBR,241.6246534038010,38.62985896311900,8.3,4715,6.8,232.57,-535.8,Gaia DR3 1379416712336909440,250,1,1,1,1,0,1,8.3
EPIC203771098,LIBR,242.5734466471140,-24.99061109330410,10.9,5309,9.6,-59.89,-58.7,Gaia DR3 6049750234317822208,3600,1,1,1,1,0,1,10.9
HIP79308,LIBR,242.7853218355030,47.542485147157100,8.1,5477,7.0,24.6,34.9,Gaia DR3 1398997262081156352,260,1,1,1,1,0,1,8.1
145958A,LIBR,243.3276917562500,13.525035100479400,7.2,5370,5.6,178.93,-419.94,Gaia DR3 4464207428579939840,94,1,1,1,1,0,1,7.2
146278,LIBR,243.46419465532700,40.34837092211620,7.7,4835,6.1,-27.21,-98.97,Gaia DR3 1380731002392947712,186,1,1,1,1,0,1,7.7
146050,LIBR,243.566881241815,-3.4740027580597500,7.8,5639,6.7,-8.69,-91.78,Gaia DR3 4357052461311284992,180,1,1,1,1,0,1,7.8
WASP38,LIBR,243.95971500850300,10.032404886232700,9.2,6046,8.3,-31.13,-39.17,Gaia DR3 4453211899986180352,691,1,1,1,1,0,1,9.2
HIP80096,LIBR,245.25107100516000,19.35914035067100,8.8,4934,7.4,-46.35,-258.02,Gaia DR3 1201133066557201920,408,1,1,1,1,0,1,8.8
EPIC204129699,LIBR,245.4405469405200,-23.54828644033230,10.5,5376,9.3,-40.24,-96.47,Gaia DR3 6050191241556876672,2565,1,1,1,1,0,1,10.5
147750,LIBR,245.77463456159500,17.470139813404700,8.3,5425,7.1,-132.48,302.73,Gaia DR3 4466944284819435776,260,1,1,1,1,0,1,8.3
148164,LIBR,246.43515528550200,11.91907312875890,8.1,5989,7.2,-88.49,1.61,Gaia DR3 4459907547841472128,241,1,1,1,1,0,1,8.1
149026,LIBR,247.6229689231790,38.34754219061390,8.0,5974,7.1,-77.96,52.68,Gaia DR3 1331356474971716992,226,1,1,1,1,0,1,8.0
150706,LIBR,247.8256432766160,79.78939109694280,6.9,5800,5.9,94.95,-86.85,Gaia DR3 1709456705329541504,74,1,1,1,1,0,1,6.9
234314,LIBR,248.1318033171610,50.18397127524700,9.2,5850,8.0,-50.57,-62.77,Gaia DR3 1411809321323302016,651,1,1,1,1,0,1,9.2
149143,LIBR,248.21267022741400,2.08444262703426,7.8,5744,6.8,-9.24,-86.68,Gaia DR3 4432401099808805888,171,1,1,1,1,0,1,7.8
149750,LIBR,248.8106652830030,37.02248022321100,8.4,5731,7.4,-62.06,79.1,Gaia DR3 1327996504876043648,333,1,1,1,1,0,1,8.4
151504,LIBR,252.1338477679110,-19.28930603699680,7.9,5444,6.7,-101.11,-346.08,Gaia DR3 4130605425932372992,215,1,1,1,1,0,1,7.9
152125,LIBR,252.1514328280200,55.12840185812330,8.7,5691,7.7,141.43,-216.31,Gaia DR3 1427134451830285568,380,1,1,1,1,0,1,8.7
EPIC205071984,LIBR,252.4260055029450,-19.543057889000100,12.0,5032,10.4,-16.66,-53.56,Gaia DR3 4130539180358512768,3600,1,1,1,1,0,1,12.0
152733,LIBR,253.23832638243000,44.40270161042870,7.8,4871,6.3,-10.78,68.4,Gaia DR3 1359070215305084416,211,1,1,1,1,0,1,7.8
152581,LIBR,253.4316467492100,11.973680670226700,8.1,5027,6.7,11.55,-14.94,Gaia DR3 4448227641977175296,268,1,1,1,1,0,1,8.1
153525,LIBR,254.42503416828400,47.36330765899740,7.6,4738,6.1,-139.58,262.09,Gaia DR3 1408029436569383296,116,1,1,1,1,0,1,7.6
154325,LIBR,255.6742302920120,44.637136621797700,8.4,5739,7.3,-111.62,53.69,Gaia DR3 1358695384919869824,318,1,1,1,1,0,1,8.4
